EmployeeNumber	Age	Attrition	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
454	43	Yes	Travel_Rarely	256	Research & Development	11	4	Life Sciences	1	Female	83	2	2	Healthcare Representative	2	Divorced	5636	3224	6	No	25	3	2	2	21	1	3	3	0	1	0
368	19	No	Travel_Rarely	1354	Research & Development	1	1	Life Sciences	3	Female	64	3	1	Manager	1	Married	4256	23496	3	No	20	4	2	0	0	2	4	0	0	0	0
942	38	No	Travel_Rarely	253	Sales	19	5	Human Resources	1	Female	87	4	2	Manager	4	Married	5402	11855	4	Yes	19	4	4	2	16	3	2	0	0	0	0
238	28	No	Travel_Frequently	766	Sales	4	3	Technical Degree	4	Male	60	1	1	Manager	4	Single	5976	10944	1	No	12	4	1	2	7	1	3	3	3	3	3
1165	44	No	Travel_Frequently	463	Research & Development	7	4	Marketing	1	Male	72	3	3	Healthcare Representative	3	Married	10582	10427	4	No	14	3	4	1	22	2	3	9	3	2	2
678	31	Yes	Travel_Rarely	1068	Research & Development	1	2	Medical	1	Female	79	2	2	Research Director	3	Single	4926	3638	4	No	23	3	4	0	5	4	3	1	1	0	0
124	36	No	Travel_Rarely	296	Research & Development	1	2	Technical Degree	4	Female	74	4	1	Healthcare Representative	3	Single	4537	11266	2	No	23	3	1	0	11	1	1	0	0	0	0
707	30	No	Travel_Rarely	974	Sales	6	4	Human Resources	4	Female	41	4	2	Manager	4	Married	6296	26890	0	No	13	3	3	2	7	6	1	6	1	0	6
603	54	No	Travel_Rarely	174	Research & Development	29	3	Life Sciences	1	Male	53	4	5	Research Scientist	2	Divorced	14859	21841	0	No	18	3	3	1	30	6	3	23	0	0	1
463	37	No	Non-Travel	783	Research & Development	10	2	Technical Degree	1	Female	30	4	3	Research Director	3	Married	8650	24770	4	No	24	3	4	1	9	5	4	9	7	0	5
911	25	No	Travel_Rarely	873	Research & Development	1	3	Other	2	Male	78	4	1	Research Director	1	Divorced	4527	4787	4	No	20	3	2	0	0	5	2	0	0	0	0
1342	35	No	Non-Travel	1342	Human Resources	19	4	Human Resources	1	Female	37	4	3	Human Resources	4	Married	8926	4485	5	No	23	3	3	1	12	4	3	6	0	0	5
1297	23	No	Travel_Rarely	594	Research & Development	23	3	Life Sciences	4	Male	49	2	1	Research Scientist	4	Married	4075	5096	3	No	11	3	1	1	4	2	3	0	0	0	0
77	48	No	Travel_Frequently	1167	Research & Development	4	2	Life Sciences	3	Male	50	1	3	Laboratory Technician	4	Married	9147	6431	0	No	25	3	2	0	26	2	3	11	10	2	0
1170	42	No	Travel_Rarely	703	Research & Development	10	1	Medical	3	Male	39	2	2	Manager	2	Married	7088	8838	3	No	23	3	1	1	19	2	3	1	0	1	0
1135	24	No	Travel_Rarely	603	Research & Development	2	2	Technical Degree	1	Male	34	3	2	Research Director	4	Married	7476	20629	0	No	17	3	4	0	3	0	3	0	0	0	0
487	35	No	Travel_Frequently	1232	Sales	1	2	Medical	1	Female	34	2	3	Sales Representative	4	Married	8400	23923	2	No	15	3	2	1	16	5	2	4	0	1	1
462	28	No	Travel_Rarely	428	Sales	5	2	Life Sciences	3	Female	51	4	3	Sales Executive	4	Married	7860	10159	2	No	24	3	3	0	7	0	1	5	3	0	5
1336	53	No	Travel_Rarely	1078	Research & Development	5	1	Other	4	Male	96	4	2	Manager	1	Divorced	7149	17839	2	No	12	3	3	1	31	0	3	3	3	2	3
1312	31	No	Travel_Rarely	265	Research & Development	1	3	Life Sciences	3	Male	73	2	2	Healthcare Representative	2	Married	6668	4129	5	Yes	16	3	4	0	11	3	3	1	1	1	0
1484	52	No	Travel_Rarely	925	Research & Development	6	2	Human Resources	2	Male	98	2	5	Manufacturing Director	4	Single	14305	10108	2	No	18	3	4	2	29	3	2	13	4	0	1
839	24	No	Travel_Frequently	1049	Sales	16	4	Technical Degree	2	Male	95	2	2	Sales Representative	1	Married	8521	4530	4	No	18	3	3	0	5	1	3	4	2	2	1
782	41	No	Travel_Frequently	251	Research & Development	17	1	Technical Degree	3	Male	92	3	2	Research Director	4	Single	6736	11640	1	No	25	3	2	1	18	5	3	5	2	0	0
343	49	No	Travel_Rarely	337	Research & Development	6	3	Human Resources	4	Female	93	1	2	Healthcare Representative	4	Single	6163	13016	2	No	25	3	3	3	28	0	3	2	2	1	0
1098	39	Yes	Travel_Rarely	821	Research & Development	3	2	Medical	4	Male	88	4	1	Research Scientist	3	Single	2353	20753	4	Yes	16	4	2	2	14	5	4	1	1	1	1
1383	37	Yes	Travel_Rarely	614	Research & Development	26	2	Other	4	Female	72	2	2	Laboratory Technician	2	Single	8415	15862	3	Yes	25	3	2	3	14	4	2	1	1	0	1
71	40	No	Non-Travel	1106	Human Resources	12	1	Marketing	3	Female	53	4	2	Manager	4	Married	6211	14275	1	Yes	17	4	3	0	17	4	2	6	1	6	4
1217	31	No	Travel_Frequently	256	Sales	12	4	Marketing	3	Female	51	3	2	Manager	1	Married	6360	15077	3	No	25	3	1	0	9	4	3	2	1	2	2
991	55	No	Travel_Rarely	184	Research & Development	4	3	Marketing	3	Male	84	1	2	Manufacturing Director	1	Single	7899	11541	3	No	18	3	4	1	34	6	3	2	2	2	2
1463	29	No	Travel_Rarely	418	Sales	2	2	Life Sciences	4	Female	45	4	2	Manager	3	Married	5931	21828	3	No	14	3	3	0	6	2	3	6	0	0	6
1289	60	No	Travel_Rarely	1068	Research & Development	10	2	Life Sciences	4	Male	93	4	1	Research Scientist	1	Single	4542	13408	2	No	24	3	1	1	32	4	3	0	0	0	0
544	40	No	Travel_Rarely	946	Sales	1	3	Medical	2	Male	97	2	2	Manager	4	Married	6824	7027	1	No	18	3	3	1	20	3	3	5	1	2	5
943	36	No	Travel_Rarely	475	Human Resources	6	3	Life Sciences	4	Female	55	2	1	Manager	4	Single	5414	17510	4	No	18	3	4	3	14	5	3	0	0	0	0
904	34	No	Travel_Rarely	1293	Sales	8	3	Life Sciences	2	Male	95	2	2	Sales Executive	4	Married	5904	12365	1	No	24	4	4	1	11	1	3	2	1	2	2
417	37	No	Travel_Rarely	1190	Sales	1	2	Life Sciences	3	Male	43	3	1	Manager	4	Divorced	5763	13305	1	Yes	20	3	1	1	12	4	2	0	0	0	0
1316	38	No	Travel_Frequently	772	Sales	2	4	Medical	4	Male	76	2	3	Sales Representative	1	Married	10400	21140	5	No	18	3	3	0	19	5	2	11	0	3	3
965	41	Yes	Travel_Rarely	147	Research & Development	16	3	Life Sciences	1	Female	35	3	3	Research Scientist	3	Married	10453	10535	6	Yes	22	3	4	0	18	3	4	11	5	3	9
125	35	No	Travel_Rarely	300	Research & Development	8	4	Other	3	Female	60	3	3	Manager	4	Married	9683	20369	1	No	23	3	4	1	12	1	3	8	1	1	2
494	33	No	Travel_Rarely	1156	Sales	25	3	Medical	4	Male	77	2	2	Manager	1	Married	7664	21403	3	No	14	3	1	2	11	0	2	5	0	0	4
1014	46	No	Travel_Rarely	892	Research & Development	1	1	Technical Degree	2	Female	41	2	1	Manufacturing Director	2	Divorced	3000	14663	6	No	19	3	3	2	21	1	1	0	0	0	0
424	36	No	Travel_Frequently	735	Sales	7	5	Life Sciences	1	Male	31	2	3	Manager	2	Divorced	7984	19418	2	No	13	3	2	2	10	0	3	8	0	5	0
619	34	No	Travel_Frequently	1235	Research & Development	9	2	Technical Degree	4	Female	82	1	3	Research Scientist	1	Married	9738	11836	2	No	14	3	2	0	12	6	3	5	1	1	1
1049	32	Yes	Travel_Rarely	525	Research & Development	1	2	Life Sciences	2	Female	83	2	4	Research Director	3	Married	10243	26070	3	No	24	3	2	2	9	4	3	9	0	2	1
789	41	No	Travel_Rarely	251	Research & Development	1	2	Technical Degree	1	Male	87	3	2	Manager	4	Divorced	5397	5539	2	No	12	3	4	1	22	1	3	4	4	1	3
1277	32	No	Travel_Rarely	283	Research & Development	1	3	Technical Degree	1	Female	96	4	2	Research Director	1	Single	6756	19727	3	No	14	3	4	2	10	5	3	0	0	0	0
621	42	No	Travel_Rarely	461	Research & Development	3	3	Marketing	4	Female	58	4	2	Healthcare Representative	4	Married	7110	16778	3	No	21	3	4	1	18	6	4	7	4	0	3
893	39	No	Travel_Frequently	655	Research & Development	1	4	Medical	3	Male	68	2	1	Healthcare Representative	3	Married	4069	11152	0	Yes	17	3	3	0	16	3	3	1	1	1	1
1358	51	No	Non-Travel	442	Research & Development	4	5	Life Sciences	4	Female	70	4	1	Manager	4	Single	4382	2084	2	No	12	4	3	0	29	5	2	0	0	0	0
68	25	No	Travel_Rarely	202	Sales	1	2	Technical Degree	2	Male	73	2	1	Sales Representative	2	Divorced	4170	25192	2	No	20	3	1	0	0	1	2	0	0	0	0
768	35	No	Travel_Rarely	326	Research & Development	3	4	Life Sciences	4	Male	87	2	2	Healthcare Representative	3	Divorced	6063	17389	4	No	22	3	4	1	15	5	3	0	0	0	0
1481	34	No	Travel_Rarely	453	Research & Development	1	2	Technical Degree	3	Male	37	4	3	Healthcare Representative	2	Divorced	8819	25246	2	No	20	3	4	0	14	3	3	5	0	2	0
1068	53	No	Non-Travel	320	Research & Development	7	3	Life Sciences	1	Male	59	2	2	Laboratory Technician	1	Married	7185	7491	5	Yes	11	3	3	2	29	6	3	2	2	2	2
290	27	No	Travel_Rarely	297	Sales	4	4	Human Resources	3	Female	72	4	1	Sales Executive	4	Divorced	3991	10677	3	Yes	20	3	1	0	5	1	3	2	2	2	2
1236	49	No	Travel_Rarely	261	Sales	27	3	Life Sciences	4	Male	65	4	2	Manager	3	Married	5963	12226	4	No	15	3	2	0	27	5	2	3	1	0	3
825	53	No	Travel_Rarely	493	Research & Development	1	4	Life Sciences	3	Male	72	3	2	Manager	1	Divorced	6041	4999	1	No	22	3	2	2	29	0	3	2	0	0	0
1094	39	Yes	Travel_Rarely	1013	Human Resources	7	3	Medical	1	Male	72	3	1	Human Resources	2	Married	5296	6198	2	No	19	3	3	0	15	5	3	2	0	2	1
241	59	No	Travel_Rarely	222	Research & Development	1	3	Life Sciences	3	Female	84	2	2	Research Director	4	Married	4908	7404	1	No	16	4	1	0	36	1	4	2	1	2	2
620	21	No	Travel_Frequently	1140	Research & Development	2	4	Life Sciences	3	Male	90	2	2	Research Director	2	Married	6799	20429	5	No	13	3	2	2	0	0	2	0	0	0	0
1182	28	No	Non-Travel	754	Research & Development	7	3	Medical	3	Female	62	2	2	Manufacturing Director	1	Single	7455	24292	0	No	12	3	4	0	5	3	3	2	2	2	0
572	38	No	Travel_Rarely	818	Sales	3	3	Life Sciences	1	Female	95	4	4	Sales Executive	2	Married	6552	14058	1	No	19	3	3	0	15	3	3	10	2	0	0
889	32	Yes	Travel_Frequently	826	Research & Development	5	3	Life Sciences	4	Male	92	2	1	Manufacturing Director	4	Married	3416	3054	3	Yes	11	3	1	0	12	0	3	2	0	2	2
986	26	No	Travel_Rarely	951	Research & Development	3	3	Technical Degree	1	Female	83	4	1	Manager	3	Married	2315	23616	5	No	15	3	4	3	0	0	3	0	0	0	0
1152	26	No	Travel_Rarely	308	Sales	29	2	Life Sciences	3	Male	63	2	2	Sales Representative	3	Single	8319	14330	3	No	15	3	3	1	2	2	3	0	0	0	0
498	36	Yes	Travel_Rarely	910	Research & Development	10	4	Life Sciences	3	Male	86	3	1	Research Scientist	1	Single	4200	4521	2	Yes	19	3	3	0	15	2	3	0	0	0	0
272	27	No	Travel_Rarely	503	Research & Development	29	4	Life Sciences	2	Male	78	4	2	Laboratory Technician	3	Married	7359	16233	2	No	20	4	3	3	5	1	3	5	2	0	0
307	48	Yes	Travel_Rarely	1067	Research & Development	1	3	Technical Degree	3	Male	46	4	3	Manager	4	Single	9767	26545	3	No	16	3	2	0	24	3	3	4	0	2	1
1175	40	Yes	Travel_Frequently	878	Research & Development	7	3	Other	4	Male	83	3	3	Research Scientist	1	Divorced	6269	24945	2	Yes	12	4	4	0	17	3	3	4	4	0	1
354	34	No	Travel_Rarely	1051	Sales	3	2	Other	4	Male	66	4	2	Manager	2	Married	8197	20825	1	No	13	3	4	1	16	4	3	0	0	0	0
352	34	No	Travel_Frequently	1457	Research & Development	1	4	Technical Degree	4	Male	70	2	1	Research Scientist	4	Divorced	4268	12088	5	Yes	14	3	4	1	9	0	3	0	0	0	0
480	43	No	Travel_Rarely	550	Research & Development	22	2	Technical Degree	2	Male	63	4	4	Laboratory Technician	4	Divorced	11814	16695	5	No	16	3	1	1	20	6	1	8	0	4	1
812	33	No	Travel_Frequently	427	Sales	7	3	Other	4	Female	44	4	5	Manager	2	Married	13421	3444	1	No	20	3	1	3	13	1	3	13	1	0	1
30	48	No	Travel_Rarely	160	Sales	10	1	Human Resources	1	Male	83	2	1	Sales Executive	2	Single	4157	7170	2	No	20	4	4	0	26	6	3	1	0	0	1
1459	43	No	Travel_Frequently	1015	Research & Development	1	4	Other	3	Female	59	4	2	Manufacturing Director	4	Single	5594	17089	4	Yes	11	3	3	3	23	0	2	1	1	0	0
924	39	No	Travel_Rarely	161	Sales	1	5	Medical	2	Female	99	2	2	Manager	3	Single	6496	23404	0	No	14	3	3	0	17	2	3	0	0	0	0
1191	46	No	Travel_Rarely	1244	Research & Development	2	3	Life Sciences	4	Female	89	2	1	Healthcare Representative	4	Divorced	4657	10389	3	No	23	3	2	2	24	0	1	0	0	0	0
66	45	No	Travel_Frequently	817	Sales	12	2	Technical Degree	1	Female	62	2	1	Sales Representative	1	Divorced	5359	10097	1	Yes	11	3	4	3	22	3	3	1	1	0	1
1051	26	No	Non-Travel	1115	Research & Development	7	4	Technical Degree	1	Male	38	4	3	Manager	2	Divorced	9225	4510	2	No	21	3	4	1	6	1	3	4	4	1	1
142	36	No	Travel_Rarely	585	Sales	6	2	Marketing	4	Male	46	3	1	Sales Representative	1	Married	4719	9544	5	No	17	4	3	0	11	0	3	0	0	0	0
874	45	No	Travel_Rarely	559	Sales	4	3	Life Sciences	3	Male	67	3	2	Manager	2	Single	6612	14843	2	No	22	3	3	0	24	5	3	2	1	0	2
1121	25	Yes	Non-Travel	721	Research & Development	3	4	Other	4	Female	52	4	1	Manufacturing Director	2	Single	4390	17149	2	Yes	19	3	4	3	3	5	2	3	3	1	0
568	28	No	Travel_Rarely	311	Research & Development	5	2	Other	4	Female	54	3	2	Research Director	2	Married	5951	8321	5	No	18	3	1	2	4	2	3	3	0	1	1
1451	49	No	Travel_Rarely	960	Research & Development	28	4	Technical Degree	3	Male	95	3	3	Manufacturing Director	1	Divorced	10258	9724	1	Yes	11	3	3	0	26	3	4	9	4	0	9
1284	36	Yes	Travel_Rarely	1487	Research & Development	7	3	Technical Degree	3	Male	66	4	2	Manager	3	Single	5000	25313	1	Yes	13	3	1	1	11	6	4	3	3	1	3
1471	41	No	Travel_Rarely	1409	Sales	5	2	Other	3	Female	34	1	2	Sales Executive	4	Single	7883	22604	3	No	24	3	1	1	18	4	3	1	1	0	1
317	45	No	Travel_Rarely	454	Research & Development	14	2	Life Sciences	1	Female	46	3	2	Manager	4	Married	6588	26925	1	Yes	15	3	2	0	25	2	3	3	2	0	3
491	33	No	Non-Travel	517	Research & Development	8	3	Other	4	Male	67	1	1	Laboratory Technician	2	Married	3783	4842	6	No	24	3	4	0	11	5	3	1	1	1	1
722	38	No	Non-Travel	579	Human Resources	7	3	Life Sciences	1	Male	85	4	3	Manager	4	Married	10683	12935	1	No	17	3	4	0	18	5	1	6	4	3	1
1337	33	Yes	Travel_Rarely	514	Research & Development	10	3	Other	2	Male	43	2	1	Laboratory Technician	3	Divorced	4246	11677	4	No	19	3	3	0	12	0	3	3	0	3	3
971	28	Yes	Non-Travel	619	Sales	1	3	Technical Degree	1	Male	56	2	1	Manager	3	Married	4871	2139	5	No	22	3	3	3	6	2	3	2	1	2	1
1141	37	Yes	Travel_Frequently	809	Human Resources	9	3	Medical	2	Female	38	3	2	Manager	3	Divorced	6228	5185	2	Yes	19	3	3	2	13	1	3	0	0	0	0
1262	51	Yes	Travel_Frequently	162	Research & Development	29	4	Marketing	2	Male	33	2	2	Manufacturing Director	4	Single	5377	7089	0	Yes	14	4	3	0	27	0	2	6	4	0	1
185	18	No	Travel_Rarely	1493	Sales	1	3	Marketing	4	Male	91	3	2	Sales Executive	4	Divorced	6552	6582	3	No	17	3	4	2	0	3	3	0	0	0	0
1361	34	No	Travel_Frequently	462	Sales	2	1	Marketing	3	Female	79	3	1	Sales Representative	3	Divorced	5168	19738	8	No	22	3	3	2	11	1	4	2	2	0	1
1036	38	No	Travel_Rarely	589	Research & Development	6	1	Life Sciences	3	Male	35	4	2	Research Director	4	Single	6593	15822	4	No	11	4	1	0	17	5	2	2	2	0	0
725	27	No	Non-Travel	837	Sales	29	3	Human Resources	3	Female	78	2	3	Manager	1	Married	6795	7344	1	No	23	3	4	0	4	5	3	4	4	3	3
275	32	Yes	Travel_Rarely	170	Research & Development	4	4	Life Sciences	2	Male	84	2	1	Research Scientist	4	Married	4032	7031	4	No	15	3	2	3	9	3	2	2	0	0	0
45	39	No	Travel_Frequently	535	Human Resources	1	2	Other	4	Female	50	4	3	Human Resources	4	Divorced	7490	21782	3	No	13	3	4	0	17	1	3	5	0	0	4
60	32	No	Travel_Frequently	344	Sales	13	5	Medical	2	Female	68	2	3	Manager	2	Divorced	9570	14638	5	No	19	3	1	1	12	4	3	5	5	1	0
1055	35	No	Non-Travel	361	Research & Development	1	3	Technical Degree	3	Male	49	4	1	Manufacturing Director	1	Single	5328	4263	4	No	22	3	1	2	11	0	1	2	1	0	0
811	36	No	Travel_Rarely	704	Sales	1	3	Life Sciences	4	Male	87	1	5	Manager	4	Divorced	6552	4188	1	No	13	3	3	0	16	4	3	16	6	2	4
24	35	No	Non-Travel	140	Research & Development	1	1	Life Sciences	2	Male	66	3	1	Healthcare Representative	2	Married	3105	10327	2	Yes	17	3	2	2	11	3	3	0	0	0	0
579	31	No	Travel_Rarely	1195	Research & Development	9	2	Life Sciences	3	Female	41	2	3	Research Director	2	Married	8714	3710	1	No	17	3	3	0	9	6	3	4	2	3	0
1232	29	No	Travel_Rarely	656	Sales	4	3	Life Sciences	1	Female	37	4	2	Manager	1	Married	6831	11662	3	No	20	3	4	1	5	0	3	5	0	4	4
248	43	Yes	Travel_Rarely	1391	Research & Development	8	1	Medical	3	Male	94	4	2	Manufacturing Director	3	Divorced	5537	12612	3	No	11	3	2	0	21	6	2	5	2	0	5
757	36	No	Travel_Rarely	673	Human Resources	9	3	Life Sciences	3	Male	75	3	3	Manager	3	Single	9563	20657	0	No	18	3	1	1	14	2	3	5	5	1	0
116	37	No	Travel_Rarely	809	Sales	1	4	Life Sciences	3	Male	52	4	3	Sales Executive	3	Single	7937	17545	3	Yes	14	3	4	1	18	1	3	6	0	0	1
434	24	No	Travel_Rarely	650	Research & Development	1	1	Technical Degree	4	Male	98	2	1	Laboratory Technician	2	Married	4807	15521	0	No	24	4	2	1	2	5	3	2	0	1	1
355	32	Yes	Travel_Rarely	828	Sales	1	1	Technical Degree	1	Female	82	4	2	Manager	2	Divorced	6513	18872	3	No	12	3	3	1	8	2	4	2	2	2	0
1396	45	No	Travel_Rarely	1450	Research & Development	1	3	Life Sciences	4	Male	74	3	3	Laboratory Technician	2	Married	9772	22296	2	Yes	23	3	2	0	20	1	2	6	0	2	1
375	48	No	Travel_Rarely	930	Sales	1	3	Life Sciences	4	Male	69	4	2	Manager	4	Married	5685	8052	4	No	15	3	2	0	24	5	3	0	0	0	0
753	33	No	Travel_Rarely	1121	Research & Development	9	3	Marketing	4	Female	71	4	5	Healthcare Representative	4	Divorced	14018	12548	0	No	25	3	1	0	12	4	3	12	6	1	0
1199	20	No	Travel_Rarely	1354	Sales	6	4	Life Sciences	2	Male	46	4	1	Manager	4	Divorced	3710	18187	3	Yes	24	3	1	1	0	4	2	0	0	0	0
79	23	No	Travel_Rarely	916	Research & Development	7	3	Other	4	Male	90	3	2	Manager	3	Married	6235	20922	0	Yes	19	3	3	1	14	4	2	0	0	0	0
271	30	Yes	Travel_Rarely	424	Research & Development	5	3	Human Resources	1	Female	57	3	3	Research Director	1	Married	9373	14805	1	No	22	3	4	1	8	0	3	4	0	4	4
1398	19	No	Travel_Rarely	1439	Research & Development	2	2	Life Sciences	3	Male	35	2	2	Research Scientist	1	Married	6211	26686	0	No	15	4	1	1	0	2	3	0	0	0	0
240	37	No	Non-Travel	901	Research & Development	2	2	Technical Degree	4	Female	65	3	4	Laboratory Technician	4	Single	10786	6705	3	No	16	3	3	1	15	3	3	12	0	1	4
351	38	No	Travel_Frequently	295	Research & Development	8	3	Life Sciences	2	Female	81	4	2	Research Director	4	Divorced	6930	11195	3	Yes	21	4	3	0	16	2	3	4	0	1	0
16	40	No	Travel_Rarely	307	Research & Development	1	2	Life Sciences	3	Male	59	4	3	Healthcare Representative	3	Married	11333	7640	2	No	12	3	2	1	18	4	3	11	3	2	1
1193	53	No	Travel_Rarely	1333	Sales	8	4	Human Resources	2	Male	49	3	2	Manager	3	Married	5887	3254	9	No	11	3	1	1	29	3	3	0	0	0	0
359	37	No	Travel_Rarely	176	Sales	20	3	Technical Degree	4	Male	69	4	1	Manager	4	Single	2169	26385	2	No	23	3	1	2	18	1	2	1	1	1	1
304	29	No	Travel_Rarely	1069	Research & Development	11	3	Other	3	Female	74	2	2	Research Director	2	Single	5782	6654	2	No	17	3	4	0	6	5	4	0	0	0	0
416	25	No	Travel_Rarely	1318	Research & Development	25	3	Technical Degree	4	Male	46	2	3	Research Scientist	3	Married	8437	19236	3	Yes	18	3	3	0	5	3	2	5	2	4	1
433	43	No	Travel_Rarely	1225	Research & Development	9	2	Other	1	Male	75	4	2	Manager	4	Married	7664	5591	1	Yes	25	3	1	0	20	0	4	1	1	1	1
278	38	Yes	Travel_Rarely	916	Research & Development	2	4	Human Resources	1	Female	32	2	2	Manager	2	Divorced	5797	14243	0	No	14	3	3	0	16	1	3	0	0	0	0
615	26	No	Travel_Rarely	1147	Sales	6	4	Technical Degree	4	Female	71	4	2	Sales Executive	4	Single	4705	17364	0	No	12	3	1	1	5	0	2	1	1	1	1
1213	25	No	Non-Travel	332	Research & Development	1	3	Medical	1	Male	64	2	2	Healthcare Representative	2	Divorced	7904	5785	1	No	15	3	2	1	1	4	2	1	1	1	1
539	37	Yes	Travel_Rarely	527	Research & Development	14	3	Life Sciences	1	Male	60	2	2	Manufacturing Director	2	Single	7427	4695	2	No	17	3	1	0	13	3	3	0	0	0	0
1001	34	Yes	Travel_Rarely	1385	Research & Development	8	3	Marketing	3	Male	38	4	4	Laboratory Technician	1	Divorced	10256	11614	3	Yes	18	3	1	2	11	5	2	8	6	1	2
